Category,Competition Date,Competition Title,FIRST,Final,LAST,Nation,Points,Qualification,Rank,StartNr,Semifinal,Qualification 1,Qualification 2
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Lucka,46+,RAKOVEC,SLO,1.73,,1,222,39,50+1.,44 2.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Laura,45+,ROGORA,ITA,15.62,,2,234,39+,16+24.,36+7.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Luce,43,DOUADY,FRA,7.83,,3,229,38+,48+3.,30+15.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Mina,42+,MARKOVIC,SLO,15.62,,4,237,43+,16+24.,36+7.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Jessica,42,PILZ,AUT,3.87,,5,213,38+,46+5.,42+3.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Tina Johnsen,39,HAFSAAS,NOR,16.39,,6,216,40+,38+11.,30 21.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Tjasa,22+,KALAN,SLO,11.05,,7,201,40+,16+24.,39+4.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Anak,21+,VERHOEVEN,BEL,1.22,,8,203,46,50+1.,Top1.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Camille,,POUGET,FRA,12.89,,9,206,38,39 9.,30+15.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Anne-Sophie,,KOLLER,SUI,14.79,,10,217,38,38+11.,30+15.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Mia,,KRAMPL,SLO,5.74,,11,230,37+,46 6.,37+5.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Molly,,THOMPSON-SMITH,GBR,6.48,,12,235,37+,48+3.,35+10.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Nika,,POTAPOVA,UKR,23.10,,13,209,37,16+24.,30+15.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Nolwenn,,ARC,FRA,19.13,,14,220,36+,16+24.,35+10.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Michelle,,HULLIGER,SUI,19.13,,14,225,36+,16+24.,35+10.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Katherine,,CHOONG,SUI,23.10,,16,215,36+,16+24.,30+15.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Vanda,,MICHALKOVA,SVK,10.68,,17,214,36,39 9.,35+10.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Lynn,,VAN DER MEER,NED,7.75,,18,227,35+,39+7.,36+7.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Nina,,ARTHAUD,FRA,21.98,,19,232,35+,24+21.,27+23.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Julia,,FISER,AUT,13.96,,20,224,35,39+7.,21 25.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Christine,,SCHRANZ,AUT,8.29,,21,205,34+,38+11.,37+5.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Hannah,,SCHUBERT,AUT,19.13,,22,208,32+,16+24.,35+10.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Claudia,,GHISOLFI,ITA,19.94,,23,231,27+,25+18.,30 21.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Anna,,ZAIKINA,RUS,16.20,,24,218,24+,37+15.,30+15.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Noa,,SHIRAN,ISR,22.09,,25,211,21+,35+16.,14+30.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Daria,,VERETENINA,RUS,17.32,,26,223,18,38+11.,26+24.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Emma Stöver,,WOLLEBAEK,NOR,24.08,,27,219,,25 20.,17 29.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Jennifer,,WOOD,GBR,24.22,,28,204,,30+17.,12+32.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Ingrid,,KINDLIHAGEN,NOR,25.26,,29,212,,25+18.,12+32.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Natalia,,KALUCKA,POL,26.49,,30,228,,23+23.,14+30.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Michaela,,SMETANOVA,CZE,27.55,,31,210,,24 22.,12+32.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Joanna,,NEAME,GBR,28.16,,32,200,,16+24.,21 25.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Olesya,,PROSEKOVA,RUS,28.16,,32,226,,16+24.,21 25.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Ilaria,,SCOLARIS,ITA,29.22,,34,207,,16+24.,19+28.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Lisa-Marie,,KVANDAHL,NOR,32.44,,35,236,,16+24.,12+32.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Eliska,,NOVOTNA,CZE,32.44,,35,233,,16+24.,12+32.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Veronika,,SCHEUEROVA,CZE,32.44,,35,202,,16+24.,12+32.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Adam,45+,ONDRA,CZE,3.71,,1,301,38+,Top1.,31+2.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Alberto,38+,GINÉS LÓPEZ,ESP,3.71,,2,337,35+,Top1.,31+2.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Sascha,34+,LEHMANN,SUI,2.24,,3,340,35+,42+5.,32+1.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Martin,34+,BERGANT,SLO,16.43,,4,334,34+,37+10.,25+25.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Nimrod,28+,MARCUS,ISR,17.81,,5,326,35+,29+21.,29+12.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",James,23+,POPE,GBR,18.46,,6,341,35,31+14.,26+23.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Jakob,23,SCHUBERT,AUT,6.32,,7,324,35+,Top1.,29 16.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Luka,19,POTOCAR,SLO,10.71,,8,311,35+,40+8.,29+12.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",William,,BOSI,GBR,10.09,,9,329,33+,30+17.,31+2.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Fedir,,SAMOILOV,UKR,9.37,,10,307,31+,41+6.,29+12.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Martin,,STRANIK,CZE,8.29,,11,319,29+,34 12.,31+2.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Mathias,,POSCH,AUT,25.00,,12,335,29+,27+30.,27+20.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Dmitrii,,FAKIRYANOV,RUS,12.99,,13,323,27,34 12.,29+12.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Davide Marco,,COLOMBO,ITA,20.57,,14,338,27,29+21.,28+17.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Hamish,,MCARTHUR,GBR,11.37,,15,330,26+,29+21.,31+2.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Yannick,,FLOHÉ,GER,5.98,,16,309,26,41+6.,31+2.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Sebastian,,HALENKE,GER,6.84,,17,332,26,40+8.,31+2.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",David,,BARRANS,GBR,13.94,,18,333,26,30+17.,30+10.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Alistair,,DUVAL,FRA,9.38,,19,342,23,31 16.,31+2.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Nao,,MONCHOIS,FRA,17.24,,20,300,18+,31+14.,27+20.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Yuval,,SHEMLA,ISR,20.57,,21,303,18+,29+21.,28+17.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Romain,,DESGRANGES,FRA,5.12,,22,306,16+,Top1.,30+10.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Jan,,HOJER,GER,19.05,,23,322,16+,36+11.,23 33.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Stepan,,VOLF,CZE,22.35,,24,308,16+,30+17.,25+25.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Alfons,,DORNAUER,AUT,25.08,,25,313,16+,30+17.,21 34.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Mark,,BRAND,NED,20.57,,26,327,16,29+21.,28+17.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Sergei,,LUZHETSKII,RUS,25.42,,27,339,,28+27.,26+23.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Bittor,,ESPARTA FRADE,ESP,29.20,,28,325,,28+27.,23+30.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Sven,,LEMPEREUR,BEL,29.39,,29,331,,27 32.,25+25.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Francesco,,VETTORATA,ITA,29.98,,30,310,,28 29.,23+30.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Max,,RUDIGIER,AUT,30.03,,31,336,,17+38.,27 22.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Thomas,,JOANNES,FRA,30.66,,32,317,,29+21.,12+37.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Mischa,,RADT,NED,32.47,,33,316,,24 34.,23+30.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Leto,,CAVÉ,NED,33.14,,34,312,,27+30.,15 36.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Matthias,,SCHIESTL,AUT,33.27,,35,320,,17+38.,25+25.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Martin,,TEKLES,GER,33.27,,35,321,,17+38.,25+25.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Kieran,,FORREST,GBR,33.99,,37,315,,26 33.,20 35.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Šimon,,POTŮČEK,CZE,37.42,,38,304,,21+35.,12+37.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Nikola,,KRAMARIC,CRO,38.21,,39,328,,18 36.,12+37.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Matthaios,,VALSAMIDIS,GRE,38.21,,39,314,,18 36.,12+37.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Sébastien,,BERTHE,BEL,40.50,,41,318,,17+38.,12+37.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Dmitrii,,POPOV,RUS,40.50,,41,343,,17+38.,12+37.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Mykhayil,,TKACHUK,UKR,40.50,,41,302,,17+38.,12+37.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Albert,,ILSAAS SUTHURST,NOR,42.71,,44,344,,17+38.,9+44.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",John-Philip,,NOEL-BAKER,GRE,44.75,,45,305,,15+45.,9+44.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Chaehyun,34.5+,SEO,KOR,6.48,Top1.,1,33,38,,29+5.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Jessica,34.5,PILZ,AUT,6.48,Top1.,2,4,34+,,29+5.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Lucka,34+,RAKOVEC,SLO,9.33,36+14.,3,44,38+,,29+5.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Anak,34+,VERHOEVEN,BEL,4.58,Top1.,4,8,34+,,35+3.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Ai,20+,MORI,JPN,2.65,Top1.,5,28,38+,,Top1.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Natsumi,20+,HIRANO,JPN,8.37,Top1.,6,24,37+,,27+8.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Mia,20+,KRAMPL,SLO,5.29,Top1.,7,41,34+,,32+4.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Mei,20+,KOTAKE,JPN,11.68,Top1.,8,27,34+,,23 19.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Jain,,KIM,KOR,13.36,Top1.,9,30,34+,,21+24.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Tjasa,,KALAN,SLO,14.25,Top1.,10,40,34+,,17 29.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Lana,,SKUSEK,SLO,19.27,30 22.,11,45,34+,,23+15.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Laura,,ROGORA,ITA,12.04,36+14.,12,23,30,,27+8.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Janja,,GARNBRET,SLO,3.74,Top1.,13,39,27+,,39+2.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Kyra,,CONDIE,USA,17.61,29 31.,14,54,25+,,27+8.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Mina,,MARKOVIC,SLO,8.37,Top1.,15,43,20+,,27+8.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Ashima,,SHIRAISHI,USA,14.00,Top1.,16,58,20+,,19+28.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Nolwenn,,ARC,FRA,21.11,29+24.,17,12,20+,,23+15.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Julia,,FISER,AUT,21.11,29+24.,17,1,20+,,23+15.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Katherine,,CHOONG,SUI,21.72,33+17.,19,47,20+,,21+24.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Elnaz,,REKABI,IRI,23.83,34 16.,20,20,20+,,13+35.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Fanny,,GIBERT,FRA,24.37,29+24.,21,14,20+,,22+21.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Anne-Sophie,,KOLLER,SUI,19.44,29+24.,22,49,20,,26 14.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Futaba,,ITO,JPN,18.73,29+24.,23,26,17+,,26+13.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Yuki,,HIROSHIGE,JPN,17.47,33+17.,24,25,17,,23+15.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Heloïse,,DOUMONT,BEL,13.60,33+17.,25,7,16+,,27+8.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Nika,,POTAPOVA,UKR,18.33,Top1.,26,53,13,,8+47.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Molly,,THOMPSON-SMITH,GBR,24.37,29+24.,27,16,13,,22+21.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Vanda,,MICHALKOVA,SVK,25.31,31+21.,28,50,,,15+30.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Honoka,,MORIWAKI,JPN,26.24,29+24.,29,29,,,21+24.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Michelle,,HULLIGER,SUI,27.04,30 22.,30,48,,,15 32.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Eva Maria,,HAMMELMÜLLER,AUT,27.40,23+36.,31,2,,,23 19.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Sandra,,LETTNER,AUT,28.57,28+32.,32,3,,,21+24.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Viktoriia,,MESHKOVA,RUS,29.10,23+36.,33,37,,,22+21.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Lynn,,VAN DER MEER,NED,31.02,33+17.,34,34,,,5+51.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Sol,,SA,KOR,31.73,26+33.,35,32,,,15+30.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Hannah,,SCHUBERT,AUT,36.18,25+34.,36,6,,,12+38.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Claudia,,GHISOLFI,ITA,36.97,23+36.,37,21,,,13+35.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Elena,,KRASOVSKAYA,RUS,38.50,23+36.,38,36,,,12+38.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Afra,,HÖNIG,GER,39.33,19+44.,39,18,,,14+34.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Alex,,JOHNSON,USA,40.11,18+49.,40,56,,,15 32.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Michaela,,SMETANOVA,CZE,40.45,23+36.,41,10,,,11+41.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Lucija,,TARKUS,SLO,40.45,23+36.,41,46,,,11+41.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Lan,,KIM,KOR,40.99,24+35.,43,31,,,8+47.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Anna,,ZAIKINA,RUS,42.25,23 42.,44,38,,,11+41.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Emily,,PHILLIPS,GBR,42.75,20+43.,45,15,,,11+41.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Alma,,BESTVATER,GER,43.82,19 48.,46,17,,,12 40.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Hung Ying,,LEE,TPE,43.86,11+52.,47,51,,,13 37.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Maggie,,HAMMER,USA,46.73,19+44.,48,55,,,8+47.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Sara,,MORANDINI,ITA,47.20,18+49.,49,22,,,10+45.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Estelle,,PARK,USA,47.70,19+44.,50,57,,,6+50.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Wai-ping,,YU,HKG,48.44,13+51.,51,19,,,9+46.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Bianca,,MAGALHAES DE CASTRO,BRA,48.64,19+44.,52,9,,,5+51.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Aleksandra,,KALUCKA,POL,52.50,9 53.,53,35,,,5+51.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Adam,Top,ONDRA,CZE,4.18,Top1.,1,74,39+,,Top1.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Kai,32,HARADA,JPN,4.18,Top1.,2,103,35+,,Top1.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Alberto,31.5+,GINÉS LÓPEZ,ESP,4.18,Top1.,3,77,29+,,Top1.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Sean,30+,MCCOLL,CAN,11.96,37+7.,4,71,27+,,35 12.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Kokoro,27+,FUJII,JPN,4.18,Top1.,5,101,28+,,Top1.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Stefano,25+,GHISOLFI,ITA,4.18,Top1.,6,97,30+,,Top1.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Jakob,12+,SCHUBERT,AUT,7.42,37+7.,7,65,37+,,Top1.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Martin,12+,STRANIK,CZE,11.96,37+7.,8,76,30+,,35 12.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Rei,,SUGIMOTO,JPN,25.26,19.8 57.,9,106,27+,,36+11.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Dmitrii,,FAKIRYANOV,RUS,17.47,36+16.,10,114,26+,,34 18.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Fedir,,SAMOILOV,UKR,17.68,19.5 60.,11,127,26+,,Top1.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Romain,,DESGRANGES,FRA,12.14,31+29.,12,79,23+,,Top1.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Luka,,POTOCAR,SLO,15.73,37+7.,13,123,23+,,30+22.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Sean,,BAILEY,USA,16.43,32 26.,14,129,23,,38 10.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Martin,,BERGANT,SLO,17.86,37+7.,15,119,22+,,29 25.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Anze,,PEHARC,SLO,22.25,37+7.,16,121,22+,,23+43.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Yannick,,FLOHÉ,GER,25.76,31+29.,17,86,22+,,30+22.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Marcello,,BOMBARDI,ITA,13.27,37+7.,18,96,22,,34+15.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Hamish,,MCARTHUR,GBR,17.20,33+18.,19,84,19,,34+15.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Sebastian,,HALENKE,GER,8.57,Top1.,20,87,18,,32 21.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Nao,,MONCHOIS,FRA,24.03,37+7.,21,81,17,,20 52.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Taisei,,HOMMA,JPN,10.37,33 20.,22,104,13+,,Top1.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,James,,POPE,GBR,15.51,33+18.,23,85,13+,,35 12.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Jesse,,GRUPPER,USA,13.27,37+7.,24,132,13,,34+15.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Jakub,,KONECNY,CZE,24.33,31 31.,25,72,12+,,34 18.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,William,,BOSI,GBR,22.72,33 20.,26,82,11,,30 24.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Loïc,,TIMMERMANS,BEL,26.66,32+24.,27,69,,,29 25.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Max,,RUDIGIER,AUT,27.25,36+16.,28,63,,,23+43.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Yuki,,HADA,JPN,27.39,26+35.,29,102,,,33 20.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Hannes,,PUMAN,SWE,27.98,32 26.,30,126,,,29 25.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Francesco,,VETTORATA,ITA,27.98,32 26.,30,99,,,29 25.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Hanwool,,KIM,KOR,30.46,31 31.,32,108,,,29 25.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Meichi,,NARASAKI,JPN,31.10,33 20.,33,105,,,23+43.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Jongwon,,CHON,KOR,31.40,27+34.,34,107,,,29 25.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Tim,,REUSER,NED,32.98,26+35.,35,113,,,29 25.
lead,28  - 29 September 2019,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,Alfons,,DORNAUER,AUT,33.20,32+24.,36,60,,,23+43.
